0.000	0.400	a
0.400	0.880	b
0.880	1.000	c
1.000	1.200	d
1.200	1.560	e
1.560	2.120	f
2.120	2.160	g
2.160	2.160	h
2.160	2.320	i
2.320	2.680	j
2.680	3.160	k
3.160	4.040	l
4.040	4.120	m
4.120	4.440	n
4.440	4.720	o
4.720	5.080	p
5.080	5.600	q
5.600	5.880	r
5.880	6.000	s
6.000	6.640	t
6.640	7.240	u
7.240	7.240	v
7.240	7.560	w
7.560	8.000	x
8.000	8.600	y
8.600	8.840	z
8.840	8.960	aa
8.960	9.200	ab
9.200	9.320	ac
9.320	9.720	ad
9.720	10.000	ae
10.000	10.200	af
10.200	10.560	ag
10.560	11.040	ah
11.040	11.440	ai
11.440	11.600	aj
11.600	11.720	ak
11.720	12.000	al
12.000	12.160	am
12.160	12.360	an
12.360	12.440	ao
12.440	12.600	ap
12.600	12.720	aq
12.720	13.560	ar
13.560	13.920	as
13.920	13.920	at
13.920	13.920	au
13.920	14.200	av
14.200	14.400	aw
14.400	14.720	ax
14.720	14.840	ay
14.840	15.040	az
15.040	15.080	ba
15.080	15.280	bb
15.280	15.440	bc
15.440	15.520	bd
15.520	15.680	be
15.680	16.560	bf
16.560	16.560	bg
16.560	16.800	bh
16.800	17.200	bi
17.200	17.320	bj
17.320	17.440	bk
17.440	17.800	bl
17.800	17.960	bm
17.960	18.280	bn
18.280	18.280	bo
18.280	18.400	bp
18.400	18.640	bq
18.640	18.720	br
18.720	18.840	bs
18.840	18.840	bt
18.840	19.160	bu
19.160	20.040	bv
20.040	20.160	bw
20.160	20.520	bx
20.520	20.840	by
20.840	20.880	bz
20.880	21.040	ca
21.040	21.240	cb
21.240	21.640	cc
21.640	22.000	cd
22.000	22.200	ce
22.200	22.320	cf
22.320	22.800	cg
22.800	23.160	ch
23.160	23.160	ci
23.160	23.480	cj
23.480	23.520	ck
23.520	23.880	cl
23.880	24.000	cm
24.000	24.320	cn
24.320	24.480	co
24.480	24.600	cp
24.600	24.720	cq
24.720	24.920	cr
24.920	25.760	cs
25.760	25.840	ct
25.840	26.040	cu
26.040	26.200	cv
26.200	26.520	cw
26.520	26.640	cx
26.640	26.760	cy
26.760	26.920	cz
26.920	27.280	da
27.280	27.280	db
27.280	27.560	dc
27.560	27.640	dd
27.640	28.560	de
28.560	28.880	df
28.880	29.160	dg
29.160	29.400	dh
29.400	29.680	di
29.680	29.680	dj
29.680	29.920	dk
29.920	30.240	dl
30.240	30.400	dm
30.400	30.440	dn
30.440	30.680	do
30.680	30.840	dp
30.840	31.280	dq
31.280	31.360	dr
31.360	31.760	ds
31.760	32.240	dt
32.240	32.400	du
32.400	32.840	dv
32.840	33.160	dw
33.160	33.400	dx
33.400	33.600	dy
33.600	33.760	dz
33.760	34.520	ea
34.520	34.600	eb
34.600	34.720	ec
34.720	34.800	ed
34.800	34.960	ee
34.960	35.080	ef
35.080	35.680	eg
35.680	36.000	eh
36.000	36.320	ei
36.320	36.440	ej
36.440	36.600	ek
36.600	36.840	el
36.840	37.200	em
37.200	37.520	en
37.520	37.880	eo
37.880	38.280	ep
38.280	38.960	eq
38.960	39.000	er
39.000	39.200	es
39.200	39.320	et
39.320	39.600	eu
39.600	40.480	ev
40.480	40.920	ew
40.920	41.120	ex
41.120	41.120	ey
41.120	41.280	ez
41.280	41.480	fa
41.480	41.640	fb
41.640	42.120	fc
42.120	42.280	fd
42.280	42.520	fe
42.520	42.560	ff
42.560	42.560	fg
42.560	42.880	fh
42.880	43.200	fi
43.200	43.360	fj
43.360	43.560	fk
43.560	43.640	fl
43.640	43.760	fm
43.760	43.960	fn
43.960	44.160	fo
44.160	45.120	fp
45.120	45.440	fq
45.440	45.520	fr
45.520	45.960	fs
45.960	46.320	ft
46.320	46.440	fu
46.440	46.640	fv
46.640	46.680	fw
46.680	46.880	fx
46.880	46.920	fy
46.920	47.120	fz
47.120	47.320	ga
47.320	47.520	gb
47.520	47.760	gc
47.760	47.760	gd
47.760	47.840	ge
47.840	47.920	gf
47.920	48.040	gg
48.040	48.400	gh
48.400	48.560	gi
48.560	48.560	gj
48.560	48.720	gk
48.720	49.080	gl
49.080	49.840	gm
49.840	49.920	gn
49.920	50.320	go
50.320	50.360	gp
50.360	50.920	gq
50.920	51.480	gr
